init_state,found,time_millis,steps,solution
2 3 4 0 6 5 8 1 7,1,48,25,D R R U L L D R R U U L L D D R U R D L L U R D R
3 1 4 0 6 8 2 5 7,1,70,25,D R R U L U L D R D R U U L L D R R D L L U R D R
8 0 5 1 2 6 7 3 4,0,3491,NA,NA
2 6 8 4 5 7 0 1 3,1,50,22,R U R D L U R U L D L D R R U U L L D R D R
1 8 4 5 3 0 2 7 6,1,47,21,L U L D D R U U L D R U R D L U L D R R D
4 1 3 6 8 5 0 7 2,0,3427,NA,NA
1 6 0 4 2 3 8 5 7,1,66,26,L D D L U R D R U L L D R R U U L D D R U L U R D D
7 6 2 4 5 3 8 0 1,1,45,23,U U R D L D R U L L U R D D L U R U L D R R D
8 2 5 0 1 7 4 6 3,1,32,23,R R D L U U L D D R R U L U R D D L U U R D D
7 2 8 3 5 4 6 0 1,0,3324,NA,NA
1 6 2 8 7 4 3 0 5,1,4,19,L U R R D L L U R R D L U U R D L D R
5 6 3 1 0 4 8 2 7,0,3740,NA,NA
4 5 0 8 3 7 2 6 1,1,13,20,L D R D L U L D R U R U L D L U R D R D
1 7 3 8 6 5 2 0 4,0,3076,NA,NA
0 3 5 4 7 8 6 2 1,1,13,20,D R D L U R R D L U R U L D L U R D R D
7 1 0 8 4 5 3 2 6,1,31,22,D L D L U U R D D L U U R D R U L L D R R D
5 1 7 8 0 6 4 3 2,1,23,22,L U R R D D L U U R D D L U U R D L L D R R
2 6 7 1 8 4 0 5 3,1,15,20,R U R D L U U R D L U L D D R U L D R R
5 3 0 8 6 1 7 2 4,1,119,26,D L D R U L L D R U U R D L L U R R D D L U L D R R
4 1 8 6 3 7 2 0 5,1,34,23,L U U R D D R U U L D D L U R D R U L L D R R
8 1 4 2 0 3 6 7 5,0,3355,NA,NA
6 0 8 5 7 2 4 3 1,0,2709,NA,NA
3 5 6 1 4 8 0 2 7,0,3046,NA,NA
6 3 7 8 2 4 1 0 5,0,2797,NA,NA
7 6 2 3 0 8 5 4 1,0,2794,NA,NA
3 8 0 2 1 7 5 4 6,0,3033,NA,NA
0 8 3 7 2 4 6 5 1,0,3194,NA,NA
2 3 4 7 8 5 6 0 1,0,3027,NA,NA
3 2 8 5 7 4 0 6 1,0,2768,NA,NA
3 7 8 2 6 5 4 1 0,0,2976,NA,NA
3 8 2 6 1 7 5 4 0,0,4036,NA,NA
6 2 1 3 8 5 7 0 4,0,4661,NA,NA
7 1 4 3 6 5 2 0 8,1,105,25,U L U R D D L U U R R D L U L D R D R U U L D R D
8 1 5 2 0 4 3 6 7,0,3283,NA,NA
3 8 0 5 4 2 7 1 6,1,71,22,L L D R U R D L D L U R U L D D R U U R D D
3 8 4 2 6 7 0 5 1,1,91,28,R R U L U L D D R R U U L L D D R U R U L L D R U R D D
3 5 0 8 6 7 4 2 1,0,2834,NA,NA
5 0 1 2 6 4 3 7 8,0,3162,NA,NA
0 1 2 5 4 7 3 8 6,1,21,22,R D R D L L U R D R U L U R D D L L U R D R
2 6 1 0 7 3 4 8 5,0,3415,NA,NA
2 6 4 8 5 3 1 0 7,1,9,19,U U R D L D R U L L D R U U L D R R D
0 2 8 6 4 5 7 3 1,1,104,26,D R R U L D D R U L D L U R U L D D R U U R D L D R
